[10, 15, 12, 9, 11, 15, 8, 9, 16, 8, 13, 14, 19, 19, 10, 12]
[11, 13, 15, 17, 10, 7, 12, 13, 13, 12, 12, 12, 15, 7, 16, 15]
[16, 13, 10, 18, 9, 10, 12, 15, 9, 13, 18, 17, 8, 7, 12, 13]
[13, 14, 10, 10, 12, 19, 10, 10, 10, 15, 13, 8, 10, 11, 19, 16]
[12, 16, 14, 18, 11, 14, 11, 14, 10, 13, 12, 9, 13, 14, 8, 11]
[19, 15, 9, 13, 10, 11, 9, 17, 15, 16, 8, 9, 18, 11, 9, 11]
[12, 5, 10, 14, 14, 8, 15, 10, 14, 19, 15, 10, 13, 12, 11, 18]
[12, 11, 16, 13, 9, 19, 8, 10, 14, 16, 10, 11, 17, 13, 11, 10]
[22, 14, 11, 13, 8, 10, 19, 15, 14, 8, 14, 10, 11, 10, 10, 11]
[9, 12, 19, 12, 11, 15, 10, 9, 10, 9, 17, 16, 11, 17, 12, 11]
[11, 9, 11, 8, 17, 12, 14, 9, 15, 11, 14, 13, 18, 9, 17, 12]
[16, 9, 14, 16, 7, 8, 12, 11, 14, 12, 14, 12, 19, 15, 10, 11]
[8, 11, 13, 13, 14, 16, 11, 7, 15, 15, 16, 10, 13, 8, 14, 16]
[14, 15, 13, 13, 6, 13, 14, 14, 11, 18, 8, 12, 17, 11, 11, 10]
[15, 12, 12, 13, 14, 11, 11, 18, 12, 6, 12, 11, 10, 12, 15, 16]
[8, 15, 23, 11, 9, 11, 12, 13, 10, 12, 9, 15, 15, 16, 10, 11]
[15, 14, 13, 16, 12, 10, 11, 14, 14, 13, 13, 11, 7, 10, 15, 12]
[14, 13, 14, 8, 15, 9, 7, 9, 15, 13, 17, 11, 11, 10, 20, 14]
[10, 16, 11, 9, 9, 7, 20, 11, 20, 6, 12, 14, 11, 16, 13, 15]
[15, 12, 11, 15, 19, 11, 10, 15, 8, 9, 10, 13, 16, 9, 17, 10]
[16, 17, 12, 11, 9, 11, 14, 6, 16, 15, 13, 9, 12, 12, 17, 10]
[11, 6, 16, 16, 6, 8, 12, 16, 15, 15, 10, 13, 16, 12, 10, 18]
[10, 12, 11, 17, 14, 11, 13, 22, 11, 10, 14, 12, 8, 11, 8, 16]
[8, 9, 12, 13, 8, 15, 12, 11, 12, 11, 15, 18, 19, 10, 10, 17]
[12, 12, 6, 13, 11, 18, 14, 12, 17, 12, 17, 14, 17, 7, 12, 6]
[4, 16, 12, 11, 15, 15, 10, 8, 7, 19, 14, 21, 18, 10, 12, 8]
[10, 5, 15, 12, 13, 19, 10, 13, 19, 10, 9, 11, 8, 21, 15, 10]
[16, 13, 7, 8, 11, 12, 17, 15, 10, 14, 10, 10, 20, 17, 8, 12]
[13, 10, 17, 11, 11, 10, 8, 20, 8, 13, 14, 10, 10, 11, 11, 23]
[13, 18, 14, 14, 10, 14, 10, 9, 15, 17, 11, 13, 8, 13, 11, 10]
[10, 12, 15, 15, 11, 9, 16, 14, 7, 16, 13, 11, 17, 12, 11, 11]
[17, 9, 13, 19, 13, 11, 9, 11, 10, 9, 14, 17, 9, 14, 12, 13]
[15, 6, 13, 14, 8, 11, 13, 17, 11, 18, 10, 11, 9, 10, 17, 17]
[10, 15, 13, 14, 14, 4, 14, 13, 13, 18, 10, 11, 11, 18, 15, 7]
[10, 10, 14, 13, 9, 11, 12, 12, 11, 12, 17, 11, 16, 14, 18, 10]
[14, 14, 21, 6, 11, 7, 13, 21, 11, 12, 16, 10, 18, 11, 8, 7]
[13, 13, 13, 7, 11, 14, 7, 11, 12, 12, 14, 19, 9, 16, 11, 18]
[14, 15, 7, 11, 11, 14, 16, 9, 11, 13, 18, 11, 12, 17, 8, 13]
[17, 21, 17, 11, 11, 10, 16, 7, 10, 12, 14, 14, 9, 7, 15, 9]
[14, 11, 17, 13, 13, 15, 9, 9, 9, 11, 9, 7, 17, 11, 14, 21]
[16, 10, 12, 13, 9, 9, 13, 9, 13, 10, 11, 13, 13, 9, 13, 27]
[13, 10, 13, 9, 13, 15, 10, 12, 11, 9, 13, 17, 12, 18, 10, 15]
[16, 7, 12, 10, 10, 9, 12, 11, 13, 11, 16, 17, 16, 13, 16, 11]
[9, 20, 6, 10, 10, 10, 15, 12, 14, 16, 10, 18, 13, 11, 10, 16]
[4, 12, 18, 9, 13, 13, 11, 14, 11, 11, 16, 15, 11, 14, 17, 11]
