[23, 32, 20, 23, 26, 26, 25, 25]
[20, 27, 26, 28, 32, 27, 23, 17]
[24, 28, 29, 28, 29, 19, 22, 21]
[26, 24, 21, 24, 32, 25, 27, 21]
[31, 24, 24, 29, 18, 25, 25, 24]
[18, 32, 29, 15, 31, 22, 24, 29]
[30, 27, 24, 19, 20, 22, 31, 27]
[27, 21, 20, 32, 29, 23, 23, 25]
[25, 28, 23, 26, 20, 16, 30, 32]
[16, 27, 32, 25, 21, 24, 26, 29]
[25, 29, 20, 28, 21, 23, 27, 27]
[27, 24, 18, 26, 31, 27, 18, 29]
[28, 21, 22, 23, 22, 23, 32, 29]
[25, 26, 24, 24, 32, 32, 19, 18]
[18, 32, 23, 26, 31, 30, 15, 25]
[13, 32, 25, 27, 26, 31, 24, 22]
[27, 25, 25, 25, 27, 23, 21, 27]
[23, 21, 30, 21, 27, 24, 28, 26]
[26, 23, 28, 20, 28, 31, 24, 20]
[20, 31, 26, 24, 22, 22, 31, 24]
[28, 31, 17, 32, 28, 32, 20, 12]
[26, 20, 31, 24, 30, 24, 23, 22]
[23, 22, 24, 28, 27, 22, 27, 27]
[23, 24, 21, 32, 26, 30, 25, 19]
[26, 22, 18, 32, 20, 28, 28, 26]
[20, 29, 23, 26, 32, 20, 21, 29]
[28, 29, 19, 26, 24, 22, 26, 26]
[22, 32, 28, 29, 25, 21, 21, 22]
[26, 24, 23, 16, 28, 25, 31, 27]
[22, 25, 24, 27, 26, 24, 26, 26]
[16, 25, 32, 23, 23, 30, 23, 28]
[26, 31, 23, 24, 21, 32, 22, 21]
[20, 20, 25, 31, 22, 30, 25, 27]
[26, 28, 22, 27, 30, 27, 19, 21]
[27, 24, 23, 24, 21, 27, 31, 23]
[27, 22, 28, 20, 29, 23, 25, 26]
[32, 24, 19, 31, 16, 22, 29, 27]
[21, 26, 28, 25, 18, 32, 25, 25]
[28, 24, 22, 23, 17, 30, 27, 29]
[30, 31, 20, 25, 24, 22, 27, 21]
[32, 19, 17, 29, 29, 32, 24, 18]
[27, 17, 32, 30, 18, 27, 23, 26]
[24, 20, 32, 20, 20, 26, 31, 27]
[27, 26, 24, 24, 21, 23, 30, 25]
[25, 25, 31, 17, 23, 32, 22, 25]
[32, 21, 19, 25, 21, 28, 23, 31]
[27, 22, 30, 28, 17, 22, 23, 31]
[26, 20, 21, 24, 30, 21, 27, 31]
[27, 24, 26, 25, 26, 32, 23, 17]
[24, 25, 31, 26, 31, 23, 24, 16]
[21, 28, 23, 25, 25, 25, 24, 29]
[23, 30, 26, 21, 27, 32, 24, 17]
[20, 29, 25, 18, 32, 23, 21, 32]
[26, 25, 25, 26, 24, 22, 24, 28]
[22, 28, 17, 19, 30, 29, 26, 29]
[15, 27, 20, 28, 28, 32, 30, 20]
[23, 23, 32, 21, 24, 32, 24, 21]
[21, 26, 26, 22, 28, 23, 27, 27]
[26, 21, 31, 25, 26, 22, 31, 18]
[18, 23, 30, 22, 20, 27, 29, 31]
[30, 20, 25, 23, 25, 27, 32, 18]
[18, 24, 25, 21, 32, 32, 27, 21]
[31, 31, 18, 18, 24, 23, 23, 32]
[18, 23, 27, 22, 32, 30, 25, 23]
[25, 19, 30, 29, 25, 25, 21, 26]
[27, 29, 25, 19, 26, 30, 24, 20]
[26, 24, 22, 25, 27, 23, 28, 25]
[22, 26, 29, 30, 24, 25, 21, 23]
[20, 23, 24, 32, 21, 28, 27, 25]
[23, 23, 28, 24, 27, 28, 25, 22]
[22, 29, 21, 21, 31, 26, 21, 29]
[17, 15, 27, 26, 29, 29, 25, 32]
[20, 29, 24, 25, 28, 18, 25, 31]
[22, 21, 29, 25, 27, 22, 29, 25]
[20, 29, 32, 30, 22, 24, 22, 21]
[28, 23, 23, 23, 24, 25, 32, 22]
[24, 27, 26, 24, 23, 28, 24, 24]
[19, 32, 20, 25, 26, 28, 30, 20]
[30, 19, 28, 21, 22, 32, 25, 23]
[22, 26, 30, 28, 23, 27, 19, 25]
[24, 29, 20, 23, 30, 19, 26, 29]
[32, 23, 21, 22, 26, 29, 23, 24]
[25, 32, 27, 23, 16, 29, 27, 21]
[32, 13, 24, 28, 29, 17, 32, 25]
[28, 22, 24, 18, 25, 26, 27, 30]
[26, 25, 27, 23, 30, 27, 20, 22]
[25, 19, 23, 30, 23, 22, 26, 32]
[29, 21, 21, 22, 29, 30, 26, 22]
[29, 28, 20, 26, 28, 22, 24, 23]
[20, 26, 32, 18, 25, 24, 27, 28]
[28, 23, 25, 31, 20, 28, 27, 18]
[16, 32, 22, 25, 30, 18, 32, 25]
[24, 29, 27, 25, 27, 23, 20, 25]
[29, 28, 18, 23, 26, 29, 17, 30]
[19, 24, 28, 32, 22, 28, 21, 26]
[28, 32, 24, 20, 30, 21, 26, 19]
[28, 26, 23, 25, 21, 21, 30, 26]
[18, 21, 23, 27, 29, 27, 32, 23]
[24, 29, 23, 29, 18, 20, 32, 25]
[19, 25, 27, 31, 32, 30, 17, 19]
